번호,상품명,구성물, 제조사 ,사용연령,설명,영역,관리기관전화번호,데이터기준일자
1,리틀타익스 리틀 오션 팝 터틀,본체,리틀타익스,6개월이상,"소리를 통한 감각발달과 12개월까지 가장 주요한 대근육,소근육을 발달할 수 있도록 도와주는 유아완구입니다. 등껍질에 도형을 맞춰보세요. 우리아이의 색,모양 학습이 가능합니다.",조작(탐색),063-432-3400,2022-12-02
2,브이텍걸음마 학습기-한영버전,본체,브이텍,6개월이상,학습패널을 분리해서 단독으로 사용 앉아서 놀 수 있는 6개월 무렵부터 사용할 수 있고 버튼을 눌러보고 끼워도 보며 아이의 소근육이 발달 되며 오감발달에 도움이 됩니다. 걸음마보조기로 안전하게 걸음마를 배울수 있습니다. 한국어와 영어로 나오는 학습패널은 아이의 언어감각을 자극시켜줍니다.,통합놀잇감,063-432-3400,2022-12-02
3,원더키즈 뽀로로 어린이버스,본체,원더키드,36개월이상,뽀로로와 친구들 어린이버스는 123 숫자 공부하고 뽀로로 주제가도 따라부를 수 있어요. 후릭션 기능이 있어 버스를 밀면 앞으로 전진!!,자동차(모형),063-432-3400,2022-12-02
4,코니스 에듀볼,본체,코니스,1세이상,6개의 면마다 각각 다른 재미있고 유익한 놀이가 있어 아이들이 오랫동안 지루해하지 않고 놀이를 하며 학습할 수 있도록 만들어진 코니스의 대표상품입니다.,통합놀잇감,063-432-3400,2022-12-02
5,코니스 에듀테이블,본체,코니스,0개월이상,"모빌,아기체육관,걸음마,아기책상의 4가지 기능으로 신생아때부터 쥬니어때까지 이용할 수 있는 학습기능과 경제성까지 생각한 다기능종합놀이완구입니다.",통합놀잇감,063-432-3400,2022-12-02
6,기글러닝홈,본체,브라이트스타트,12개월이상,"아침부터 밤까지 창 밖 풍경의 변화를 통해 하루를 잉해하고, 숫자와 컬러 등 다양한 표현을 배울 수 있습니다. 아기들이 좋아하는 고양이, 강아지로 친근감을 더하고 손가락을 사용하여 지능을 함께 발달 시키기에 좋은 아이템입니다. ",통합놀잇감,063-432-3400,2022-12-02
7,쇼핑카트,"본체, 도형 3개",브라이트스타트,12개월이상,"걸음을 걸을 때마다 팝콘이 팡팡 튀겨지는 재미있는 쇼핑카트는 요리와 쇼핑카트, 걸음마 보조기 기능을 가진 다기능 장난감입니다.",역할(소꿉),063-432-3400,2022-12-02
8,러닝피쉬,본체,브라이트스타트,6개월이상,"즐거운 음악을 들으며 숫자와 컬러, 알파벳, 도형을 배울 수 있는 러닝피쉬는 버튼을 누르는 것을 좋아하는 아기들의 특징에 맞게 12개의 큰 버튼과 3개의 모드 버튼이 있어 어린 아기들이 더욱 좋아합니다.",조작(탐색),063-432-3400,2022-12-02
9,리틀드라이버,본체,브라이트스타트,12개월이상,진짜 자동차를 운전하는것 같은 기분을 느끼게 해주는 리틀드라이버는 자동차의 기능을 그대로 빼어 닮은 재미있는 운전놀이 장난감입니다.,조작(탐색),063-432-3400,2022-12-02
10,[GINIMAG] 창의학습교구 노트보드,"노트보드, 자석펜 1개, 활동지도서 1권",지니맥,24개월이상,펜으로 그리는 나만의 세상. 노트보드구멍에 자석펜을 갖다 대면 구슬이 올라오면서 그림을 그립니다.,조작(탐색),063-432-3400,2022-12-02
11,리틀타익스 호랑이실로폰,본체,리틀타익스,18개월이상,유아의 리듬감을 발달 시켜주는 음악완구입니다. 건반으로도 실로폰으로도 즐겁게 연주해보세요.,음률,063-432-3400,2022-12-02
12,리틀타익스 아기 기타,본체,리틀타익스,2세이상,아기 기타는 유아의 리듬감과 창의력을 길러주는 음악완구입니다. 줄을 튕길때 마다 LED 불빛이 반짝반짝 빛납니다.,음률,063-432-3400,2022-12-02
13,피셔프라이스 래프앤런 뉴 러닝 테이블,본체,피셔프라이스,6개월부터 36개월,테이블 여기저기에서 나오는 불빛과 동물 캐릭터들과 함께 놀고 움직이고 탐험하도록 아이의 호기심을 자극해 줍니다.,통합놀잇감,063-432-3400,2022-12-02
14,스텝2 이인용밴,본체,스텝2,1.5세부터 5세,두명이 탈수 있는 넓은 지붕차입니다. 뒤쪽의 문짝을 내리고 1명이 더 탈 수 있게끔 이인승으로 사용가능합니다.,신체(승용),063-432-3400,2022-12-02
15,스텝2 빨간모자 아기차,본체,스텝2,1세부터 3세,아이들이 직접 발로 밀며 움직임으로서 아이들의 운동신경을 발달시킵니다.,신체(승용),063-432-3400,2022-12-02
16,스텝2 화장대세트,"화장대, 의자",스텝2,1.5세부터 5세,아이들이 예쁜모양의 화장대에서 모양 흉내내기 놀이를 즐기는 아이들의 놀이 장소입니다. ,역할(소꿉),063-432-3400,2022-12-02
17,스텝2 예쁜이 화장대,"화장대, 의자, 소품 3개",스텝2,3세이상,메이크업과 액세서리를 위한 보관함이 있어보다 실용적입니다.,역할(소꿉),063-432-3400,2022-12-02
18,스텝2 오븐렌지,본체,스텝2,1.5세부터 5세,"두개의 가열대와 스위치, 도마와 오븐이 있어 재미있게 요리하며 즐길 수 있는 미니 주방놀이입니다.",역할(소꿉),063-432-3400,2022-12-02
